i J' Ka' Kc' inv' F' J" Ka" Kc" inv" F" nu unc fit fit2
576: 6 4 2 0 6 5 3 3 0 5 77.5376900 -0.0003000 -0.0003477 -0.0003476
577: 12 6 7 1 12 11 7 5 0 11 79.3768900 -0.0003000 -0.0002281 -0.0002282
578: 6 5 1 0 6 5 4 1 1 5 80.3837600 -0.0003000 -0.0000965 -0.0000960
579: 6 5 2 1 6 5 4 1 1 5 80.4779300 -0.0003000 0.0000804 0.0000806
580: 6 5 2 0 6 5 4 2 1 5 80.6495600 -0.0003000 0.0001013 0.0001017
581: 6 5 1 1 6 5 4 1 0 5 80.6664100 -0.0003000 0.0000055 0.0000060
582: 6 5 1 0 6 5 4 2 0 5 80.8376500 -0.0003000 -0.0000158 -0.0000150
583: 6 5 1 1 6 5 4 2 1 5 80.8611900 -0.0003000 0.0000300 0.0000300
584: 7 3 4 0 7 6 2 4 1 6 80.9035400 -0.0003000 0.0002023 0.0002003
585: 6 5 2 1 6 5 4 2 0 5 80.9316000 -0.0003000 -0.0000589 -0.0000585
586: 7 3 4 1 7 6 2 4 0 6 81.2022400 -0.0003000 0.0001789 0.0001799
587: 10 4 6 0 10 9 5 4 1 9 81.3112600 -0.0003000 0.0001290 0.0001281
588: 7 4 3 0 7 6 3 3 1 6 82.7364000 -0.0003000 0.0002147 0.0002147
589: 7 4 3 1 7 6 3 3 0 6 83.0179400 -0.0003000 0.0002167 0.0002169
590: 7 2 5 0 7 6 1 5 1 6 83.6647000 -0.0003000 0.0002058 0.0002049
591: 7 2 5 1 7 6 1 5 0 6 83.9752300 -0.0003000 0.0002806 0.0002815
592: 7 3 5 0 7 6 2 5 1 6 85.2585000 -0.0003000 0.0002983 0.0002988
593: 7 1 6 0 7 6 0 6 1 6 85.5421900 -0.0003000 0.0000079 0.0000115
594: 7 3 5 1 7 6 2 5 0 6 85.5635400 -0.0003000 0.0001876 0.0001873
595: 7 2 6 0 7 6 1 6 1 6 85.6714300 -0.0003000 0.0001108 0.0001146
596: 7 1 6 1 7 6 0 6 0 6 85.8762100 -0.0003000 0.0001465 0.0001488
597: 6 6 0 0 6 5 5 0 1 5 85.9567200 -0.0003000 0.0006348 0.0006361
598: 7 2 6 1 7 6 1 6 0 6 86.0046300 -0.0003000 -0.0001091 -0.0001071
599: 6 6 0 1 6 5 5 0 0 5 86.2365500 -0.0003000 -0.0010728 -0.0010697
600: 6 6 1 1 6 5 5 1 0 5 86.2424100 -0.0003000 -0.0002038 -0.0002005
601: 7 4 4 0 7 6 3 4 1 6 86.4389900 -0.0003000 0.0001774 0.0001773
602: 11 5 6 1 11 10 6 4 0 10 86.4604600 -0.0003000 0.0005075 0.0005019
603: 7 4 4 1 7 6 3 4 0 6 86.7181400 -0.0003000 0.0002859 0.0002855
604: 11 4 7 1 11 10 5 5 0 10 89.1158200 -0.0003000 -0.0003215 -0.0003278
605: 7 5 2 1 7 6 4 2 0 6 89.4487000 -0.0003000 -0.0001475 -0.0001476
606: 7 5 3 0 7 6 4 3 1 6 90.1372700 -0.0003000 -0.0001060 -0.0001060
607: 7 5 3 1 7 6 4 3 0 6 90.3832600 -0.0003000 -0.0001436 -0.0001434
608: 7 5 2 0 7 6 4 3 0 6 90.6987600 -0.0003000 -0.0000176 -0.0000176
609: 8 4 4 0 8 7 3 4 1 7 92.4833100 -0.0003000 -0.0000255 -0.0000262
610: 8 4 4 1 8 7 3 4 0 7 92.7617200 -0.0003000 0.0004863 0.0004858
611: 8 3 5 0 8 7 2 5 1 7 93.4183500 -0.0003000 0.0001435 0.0001405
612: 8 3 5 1 8 7 2 5 0 7 93.7089200 -0.0003000 0.0000491 0.0000492
613: 7 6 1 0 7 6 5 1 1 6 95.1897800 -0.0003000 0.0002479 0.0002484
614: 7 6 2 0 7 6 5 2 1 6 95.2359300 -0.0003000 -0.0001767 -0.0001757
615: 7 6 2 0 7 6 5 1 0 6 95.3300100 -0.0003000 -0.0000899 -0.0000892
616: 7 6 1 1 7 6 5 2 1 6 95.3834800 -0.0003000 -0.0001277 -0.0001276
617: 7 6 1 1 7 6 5 1 0 6 95.4775300 -0.0003000 -0.0000709 -0.0000711
618: 7 6 2 1 7 6 5 2 0 6 95.5242700 -0.0003000 0.0002088 0.0002094
619: 8 5 4 1 8 7 4 3 1 7 96.1003300 -0.0003000 0.0000231 0.0000234
620: 8 2 6 0 8 7 1 6 1 7 96.5583800 -0.0003000 -0.0001722 -0.0001733
621: 8 2 6 1 8 7 1 6 0 7 96.8647000 -0.0003000 0.0000552 0.0000541
622: 8 3 6 0 8 7 2 6 1 7 97.2517400 -0.0003000 0.0000979 0.0000976
623: 8 4 5 0 8 7 3 5 1 7 97.4157400 -0.0003000 0.0000351 0.0000336
624: 8 5 3 0 8 7 4 3 1 7 97.5350300 -0.0003000 0.0000706 0.0000712
625: 8 3 6 1 8 7 2 6 0 7 97.5553400 -0.0003000 0.0001964 0.0001945
626: 8 4 5 1 8 7 3 5 0 7 97.6917300 -0.0003000 -0.0002433 -0.0002447
627: 8 5 3 1 8 7 4 3 0 7 97.7853200 -0.0003000 0.0002302 0.0002293
628: 8 1 7 0 8 7 0 7 1 7 97.9252000 -0.0003000 0.0003686 0.0003724
629: 8 2 7 0 8 7 1 7 1 7 97.9656700 -0.0003000 -0.0000327 -0.0000289
630: 8 1 7 1 8 7 0 7 0 7 98.2612700 -0.0003000 0.0001270 0.0001284
631: 8 2 7 1 8 7 1 7 0 7 98.3016700 -0.0003000 -0.0001765 -0.0001752
632: 8 5 4 0 8 7 4 4 1 7 99.9260500 -0.0003000 0.0001098 0.0001088
633: 8 5 4 1 8 7 4 4 0 7 100.1726700 -0.0003000 0.0000358 0.0000353
634: 7 7 0 0 7 6 6 0 1 6 100.5749000 -0.0003000 0.0000142 0.0000173 
635: 7 7 1 0 7 6 6 1 1 6 100.5749000 -0.0003000 0.0000142 0.0000173 
636: 7 7 0 1 7 6 6 0 0 6 100.8359100 -0.0003000 -0.0000286 -0.0000211 
637: 7 7 1 1 7 6 6 1 0 6 100.8359100 -0.0003000 -0.0000286 -0.0000211 
638: 8 5 3 0 8 7 4 4 0 7 101.6072300 -0.0003000 -0.0000567 -0.0000569
639: 9 4 5 0 9 8 3 5 1 8 103.5290400 -0.0003000 0.0001373 0.0001357
640: 9 4 5 1 9 8 3 5 0 8 103.7997100 -0.0003000 -0.0001523 -0.0001538
641: 8 6 2 0 8 7 5 2 1 7 104.2069700 -0.0003000 -0.0001588 -0.0001594
642: 8 6 3 1 8 7 5 2 1 7 104.2993700 -0.0003000 0.0000024 0.0000025
643: 8 6 2 1 8 7 5 2 0 7 104.4802400 -0.0003000 0.0000771 0.0000758
644: 8 6 3 0 8 7 5 3 1 7 104.5696900 -0.0003000 0.0005425 0.0005425
645: 8 6 2 0 8 7 5 3 0 7 104.7494700 -0.0003000 0.0001344 0.0001337
646: 8 6 3 1 8 7 5 3 0 7 104.8417300 -0.0003000 0.0001557 0.0001557
647: 9 5 4 0 9 8 4 4 1 8 105.9481200 -0.0003000 0.0001529 0.0001538
648: 9 5 4 1 9 8 4 4 0 8 106.1979800 -0.0003000 0.0002188 0.0002165
649: 9 3 6 0 9 8 2 6 1 8 106.5875300 -0.0003000 0.0002372 0.0002332
650: 9 3 6 1 9 8 2 6 0 8 106.8691300 -0.0003000 0.0001293 0.0001275
651: 9 4 6 0 9 8 3 6 1 8 108.9077800 -0.0003000 0.0000828 0.0000795
652: 9 2 7 0 9 8 1 7 1 8 109.1653700 -0.0003000 0.0001573 0.0001560
653: 9 4 6 1 9 8 3 6 0 8 109.1804000 -0.0003000 -0.0001004 -0.0001035
654: 9 3 7 0 9 8 2 7 1 8 109.4288100 -0.0003000 0.0001702 0.0001691
655: 9 2 7 1 9 8 1 7 0 8 109.4686000 -0.0003000 0.0000696 0.0000653
656: 9 3 7 1 9 8 2 7 0 8 109.7307100 -0.0003000 -0.0001417 -0.0001465
657: 8 7 1 0 8 7 6 1 1 7 109.8254800 -0.0003000 -0.0001827 -0.0001827
658: 8 7 2 0 8 7 6 2 1 7 109.8357300 -0.0003000 -0.0000629 -0.0000630
