Table S7 
Observed and calculated wavenumbers and frequencies of the assigned transitions of ND2H,
ordered by increasing energy.
The vibration quantum number for the upper and lower states of transition, VU and VL,
are in the first and fifth columns; 0 and 1 indicate symmetric and antisymmetric with respect to inversion.
The transitions marked by *** are discarded in the last cycle of refinement.


  VU   JU   KUA  KUC    VL   JL   KLA  KLC    OBS/CM-1     CALC/CM-1   O-C/CM-1       OBS/MHz    O-C/MHz    UNC/MHz
   0    7    4    3      1    7    3    5    26.798440     26.798719  -0.000279     803397.020    -8.360     7.495
   1    2    2    0      0    1    1    0    26.865880     26.866095  -0.000215     805418.820    -6.439     7.495
   1    2    2    0      0    1    1    0    26.866093     26.866095  -0.000002     805425.192    -0.067     0.050
   0    8    5    3      1    8    4    5    26.920760     26.921396  -0.000636     807064.081   -19.075     7.495
   0    8    5    3      1    8    4    5    26.921396     26.921396   0.000000     807083.150    -0.006     0.050
   1    7    4    3      0    7    3    5    27.078410     27.078411  -0.000001     811790.309    -0.018     0.050
   1    7    4    3      0    7    3    5    27.079100     27.078411   0.000689     811810.995    20.668     7.495
   0    4    2    2      1    3    3    0    27.203208     27.203210  -0.000002     815531.668    -0.058     0.050
   0    2    2    1      1    1    1    1    27.508620     27.508897  -0.000277     824687.681    -8.314     7.495
   0    8    6    3      1    8    5    3    27.614230     27.614144   0.000086     827853.789     2.574     7.495
   0    8    6    2      0    8    5    3    27.797110     27.797291  -0.000181     833336.393    -5.432     7.495
   1    2    2    1      0    1    1    1    27.837400     27.837841  -0.000441     834544.257   -13.229     7.495
   1    8    6    3      0    8    5    3    27.889640     27.889530   0.000110     836110.373     3.292     7.495
   1   16    7    9      1   16    6   10    28.558798     28.558806  -0.000009     856171.217    -0.259     0.400
   0   16    7    9      0   16    6   10    28.560457     28.560458  -0.000001     856220.960    -0.041     0.040
   1   18    9    9      1   18    8   10    28.627342     28.627348  -0.000006     858226.129    -0.174     0.100
   0   18    9    9      0   18    8   10    28.641828     28.641828   0.000001     858660.416     0.022     0.100
   1    7    1    7      0    6    2    5    28.713358     28.713358  -0.000001     860804.814    -0.016     0.040
   0    7    0    7      1    6    1    5    28.793722     28.793723  -0.000001     863214.082    -0.025     0.040
   0    3    3    1      1    3    0    3    28.899035     28.899034   0.000001     866371.263     0.030     0.040
   0    7    6    2      1    7    5    2    29.032842     29.032844  -0.000003     870382.696    -0.085     0.020
   0    7    6    2      1    7    5    2    29.033100     29.032844   0.000256     870390.441     7.660     7.495
   1    7    0    7      0    6    1    5    29.130868     29.130867   0.000001     873321.458     0.029     0.020
   0    7    6    1      0    7    5    2    29.158813     29.158813   0.000000     874159.210     0.002     0.020
   1    7    6    1      1    7    5    2    29.180345     29.180342   0.000003     874804.743     0.083     0.050
   1    3    3    0      1    3    0    3    29.224230     29.224232  -0.000002     876120.388    -0.047     0.050
   0    8    6    2      1    8    5    4    29.231944     29.231944   0.000000     876351.627    -0.006     0.020
   0    8    6    2      1    8    5    4    29.232120     29.231944   0.000176     876356.911     5.278     7.495
   0   14    8    7      1   14    7    7    29.233546     29.233544   0.000002     876399.669     0.058     0.030
   1    9    6    4      1    9    5    5    29.257197     29.257199  -0.000002     877108.694    -0.075     0.030
   1    3    3    1      0    3    0    3    29.264076     29.264073   0.000003     877314.918     0.078     0.050
   0    9    6    4      0    9    5    5    29.276388     29.276386   0.000002     877684.034     0.068     0.030
   0    8    6    3      0    8    5    4    29.279623     29.279624  -0.000002     877781.005    -0.052     0.050
   1    7    6    2      0    7    5    2    29.281640     29.281639   0.000001     877841.488     0.041     0.030
   1    7    6    2      0    7    5    2    29.281770     29.281639   0.000131     877845.380     3.934     7.495
   0    6    3    3      1    6    2    5    29.318888     29.318889  -0.000001     878958.147    -0.039     0.050
   1    8    6    3      1    8    5    4    29.324183     29.324183   0.000000     879116.879    -0.009     0.030
   0   12    5    7      1   11    8    3    29.335655     29.335653   0.000002     879460.798     0.050     0.050
   0   11    7    5      1   11    6    5    29.352963     29.352958   0.000006     879979.707     0.165     0.050
   1   14    8    7      0   14    7    7    29.371013     29.371011   0.000002     880520.805     0.056     0.020
   0    7    6    1      1    7    5    3    29.473990     29.474187  -0.000197     883607.991    -5.908     7.495
   0    7    6    1      1    7    5    3    29.474187     29.474187   0.000000     883613.886    -0.013     0.020
   1   11    4    7      1   11    3    8    29.494283     29.494284  -0.000001     884216.355    -0.028     0.030
   0   11    4    7      0   11    3    8    29.500572     29.500572   0.000000     884404.908    -0.001     0.030
   1    8    6    2      0    8    5    4    29.506015     29.506013   0.000003     884568.080     0.076     0.030
